app_id,testing_stage,hipaa_compliant,us_audience,privacy_policy
com.maxremind.nebulahealthcare,2,0,1,0
com.trainerize.remainruthless,2,1,1,1
com.CreCode.OnlineDoctor,1,0,0,0
com.orane.icliniq,3,2,0,1
com.amader.onlinedoctor,1,0,0,0
online.doctor.talk,3,0,1,1
com.advancemedical.axaassistance,3,2,0,1
com.medbeyond.usa,3,0,1,1
co.myfeel.feelapp,1,0,1,1
com.americanwell.android.member.wellpoint,3,2,1,1
com.askdoctors.com,1,0,0,1
com.careclix.patient.preproduction.healthlink,0,2,1,1
com.linkdokter.halodoc.android,1,0,0,1
com.dawaai.app,2,0,0,1
com.docbox.patient,3,0,0,1
com.docin60.android,3,0,0,1
com.docpulse.mmd.ng,3,0,0,1
com.llamandoaldoctor,1,0,0,1
com.emedhub.patient,3,0,0,0
com.evisit.app.cavatelemedicine,3,2,1,1
com.evisit.app.cmg,3,2,1,1
com.evisit.app.iaostelemedicine,3,2,1,1
com.evisit.app.injurycareconnect,3,2,1,1
com.glocal.sangati,3,0,0,1
com.mediquo.main,3,0,0,1
com.cloudclinic,1,0,0,0
com.maxhealthcare,3,0,1,1
com.innocirc.vcpatient,1,0,1,1
com.conduithealth,3,0,1,1
com.maplenativeuser,3,0,1,1
com.medici,3,2,1,1
com.mediconnect.oladoc,0,0,0,1
com.medifi.patients.production,2,1,1,1
com.medonline.app,0,0,0,0
com.ntst.android.netsmart.telehealth,2,2,1,1
com.practo.fabric,1,0,0,1
com.remente.app,2,0,1,1
com.sanharabs.GraphMyHealth,1,0,0,0
com.ydl.skinaawellness,0,0,0,1
com.solv,0,2,1,1
com.soscare.customer,3,0,0,1
com.speedoc.patient,1,0,0,1
com.tendapp,1,0,1,1
com.tigertext,1,0,1,1
com.viveohealth.viveo_mobile,1,0,0,0
com.sanjeevani.sanjeevanionlinedoctorappointment,1,0,0,0
com.workithealth.workitapp,1,2,1,1
com.anytimepediatric.anytimetelemedicine,3,0,1,1
com.yourhealthkey.app,3,0,0,1
in.medibuddy,1,0,0,1
io.doctorji.app,1,0,0,0
net.airmedic.olive,3,0,1,1
online.doctor.app,1,0,0,1
com.polkadoc.ocp,2,0,1,0
com.QuickMD.md,2,2,0,1
cribmd.com.CribMD,2,0,0,1
com.mdflow.chat,0,0,0,0
com.geniemd.bonumhealth,0,1,1,1
com.she.sehatq,1,0,0,1
com.doximity.doximitydroid,1,2,1,1
com.zocdoc.android,2,2,1,1
com.plushcare.plushcare.prod,3,2,1,1
com.mend.android.telemedicine,1,2,1,1
com.medekhealth.medek,3,2,1,1
com.mangoesmobile.swinfen,1,0,0,1
com.alphonso.swiftttelemedicine,2,0,1,1
org.intelehealth.unicef,1,0,0,1
com.unarv.health,2,0,0,1
io.pocketdoc.app,3,2,1,1
com.quikdr.rajagiri,3,0,0,1
com.maginnovate.mypocketdoctor,1,0,0,1
com.citrus.citrustelemedicines,2,0,0,0
com.careclick.CareClick,3,0,0,0
com.sehatkahani.app,2,2,0,1
org.doctorsee.me,1,0,0,0
com.trackthebird.drappointmentlite,0,0,0,0
com.avizia.blackwell.provider,0,2,1,1
com.cartulahealth.multicare,0,0,0,1
com.isalushealthcare.AnywhereCare,2,2,1,1
com.americanwell.android.member.amwell,3,2,1,1
com.bcbsm.mmaprod,3,2,1,1
com.bcbsm.android.bcmi.onlinevisit,3,2,1,1
com.babylon.us,3,0,0,0
com.betterhelp,3,0,1,1
com.chironhealth.patients,2,0,1,0
com.cirrusmd.android,0,0,1,0
com.doctorondemand.android.patient,3,2,1,1
com.getheal.patient,3,2,1,1
com.healthtap.userhtexpress,3,2,1,1
com.healthiestyou.app,1,2,1,1
com.mdlive.mobile,3,2,1,1
com.spruce.messenger,3,2,1,1
com.teladoc.members,3,2,1,1
com.pikkart.pikkart_telehealth,1,0,0,1
com.simplepractice.video,1,2,1,1
com.vsee.clinic.release,1,0,1,1
com.amerihealth.wehealthnew,3,1,1,1
com.zoomcare.mobile,2,2,1,1
com.ninety8point6.patientapp,3,2,1,1
global.increase.app,2,0,1,1
ru.mobiledimension.kbr,0,0,0,1
com.mosaicwellness.manmatters,1,0,0,1
com.imedhealthus.imeddoctors,0,0,1,1
com.doctorcareanywhere,1,0,0,1
com.ada.app,1,0,0,1
com.mdoc.app,1,0,0,1
com.cirrusmd.askadoctor,0,0,0,0
com.lybrate.phoenix,1,0,0,1
health.livi.android,0,0,0,1
com.kyroshealth.patient_V3,1,0,0,0
bd.com.takemed.client.twa,0,0,0,0
com.advancemedical.virtualcare,1,2,1,1
com.mydoctormn_New,1,0,0,1
com.docmobile,1,0,0,1
com.whatsdoc.app,1,0,0,1
com.lafiya.telehealth,0,2,1,1
com.efficenz.vhospital,1,0,0,0
com.rupamthxt.ospi,0,0,0,1
com.synapsecoding.umedoc,2,2,1,1
com.carenowapp,2,0,1,0
com.talkspace.talkspaceapp,2,2,1,1
com.carbonhealth.patient.prod,3,2,1,1
ai.mayamd.mayamd,3,1,1,1
sg.hidoc.visit,3,0,0,1
ai.rimads.avey,3,0,0,1
com.dofody,1,0,0,1
id.ihc.telemed,3,0,0,1
in.docsmart.app,1,0,0,1
com.dracta,0,0,0,0
thepediatricnetwork.doctorapp,1,0,0,0
com.jiyyo.lyfe,1,0,0,1
com.client.eglobaldoctors,3,1,1,1
com.contactdoctor.patient,3,0,0,1
controllers.marham.marhammed,3,0,0,1
com.goodrx,3,2,1,1
ai.kanghealth,0,2,1,1
com.media365ltd.doctime,1,0,0,1
com.medintu.MedintuIN,3,0,0,1
com.mm.ondoctor,3,0,0,1
com.patient.myhealthathand,3,0,0,1
com.mds.medanta,2,0,0,1
in.sanela.mysanela,2,0,0,0
com.svtindia.docayushfirebase,0,0,0,0
com.mobilexion.drtop,1,0,0,0
com.doctorai,0,0,0,1
com.infikeytechnologies.claveto,3,0,0,0
in.docco360.patient,3,0,0,1
com.quikdr.app,3,0,0,0
com.docon.patientapp,1,0,0,1
com.neevlabs.connect2mydoctorpatientshalby,3,2,1,1
com.credihealth.android,3,0,0,1
com.a.Healwell24,1,0,0,1
com.charm.phr.customBrandedApp025,1,2,1,1
com.getz.greenclinic,3,0,0,0
com.healthcoco.android,3,0,0,1
com.apollo.android,3,0,0,1
my.doctor2u.client,3,0,0,1
com.syntagi.patients,1,0,0,1
bd.com.cliniva.cliniva_patient,1,0,0,0
com.lyflinkpatientapp,1,0,0,1
com.docplus,1,0,1,1
com.telemed.ae,0,0,0,0
com.developer.odoc,1,0,0,1
com.doctordekhao.patient,1,0,0,1
com.gmail.oaasarobotics.kalvedanew,0,0,0,0
com.amrdoctor.doctor_call,1,0,0,1
com.jolpie.app,1,0,0,0
com.homemedics.app,1,0,0,1
