,0
0,"(none):54.219.161.250:host:null
"
1,"playatoms-pa.googleapis.com/142.250.72.202
"
2,"(none):38.0.20.6.0.52.0.0.0.0.0.0.184.25.56.188:host:null
"
3,"(none):54.165.4.19:host:null
"
4,"(none):38.6.71.0.0.16.0.0.0.0.0.0.104.22.51.161:host:null
"
5,"lookupHostByName:mqtt.healthtap.com
"
6,"(none):52.25.245.106:host:null
"
7,"lookAllHostAddr:nuq04s39-in-x04.1e100.net
"
8,"(none):10.105.161.170:host:null
"
9,"getAddrInfo:doctorai.com.au
"
10,"perlmanclinic.com
"
11,"getAddrInfo:telemedecine.airmedic.net
"
12,"(none):38.0.144.0.32.166.74.0.0.1.138.169.125.64.147.161:host:null
"
13,"getAddrInfo:sanjivani.exoticawoodsnclub.com
"
14,"(none):3.219.11.119:host:null
"
15,"lookupHostByName:hellolyf.com
"
16,"(none):38.7.248.176.64.7.8.15.0.0.0.0.0.0.32.10:host:null
"
17,"(none):52.218.118.128:host:null
"
18,"(none):209.237.197.128:host:null
"
19,"lookupHostByName:sfo03s24-in-x04.1e100.net
"
20,"user-service-pusuheofiq-uc.a.run.app
"
21,"(none):54.200.192.202:host:null
"
22,"(none):69.195.171.140:host:null
"
23,"chromesyncpasswords-pa.googleapis.com/142.250.189.202
"
24,"(none):108.138.246.119:host:null
"
25,"lookAllHostAddr:attr.appsflyer.com
"
26,"lookAllHostAddr:NTSTVirtualHealth.com
"
27,"lookupHostByName:wayumd.appspot.com
"
28,"(none):38.7.248.176.64.3.12.21.0.0.0.0.0.0.0.188:host:null
"
29,"lookupHostByName:app.workithealth.com
"
30,"lookAllHostAddr:myphonenumbers-pa.googleapis.com
"
31,"lookAllHostAddr:209.237.213.139
"
32,"getByName:34.102.215.127
"
33,"reminders-pa.googleapis.com/2607:f8b0:4005:802::200a
"
34,"(none):0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0:host:null
"
35,"lookAllHostAddr:sfo03s32-in-f4.1e100.net
"
36,"(none):253.75.82.148.127.58.0.1.161.73.210.103.73.245.130.7:host:null
"
37,"api-34-0-0.twitter.com:69.195.178.128:host:api-34-0-0.twitter.com
"
38,"(none):38.0.144.0.34.2.164.0.0.8.212.131.128.192.147.161:host:null
"
39,"ondoctorapp.com
"
40,"device-api.urbanairship.com
"
41,"(none):54.153.11.171:host:null
"
42,"firestore.googleapis.com/2607:f8b0:4005:811::200a
"
43,"(none):52.66.47.13:host:null
"
44,"getAddrInfo:sdk.fra-01.braze.eu
"
45,"(none):151.101.65.137:host:null
"
46,"(none):54.230.21.50:host:null
"
47,"getAddrInfo:www.facebook.com
"
48,"(none):38.7.248.176.64.7.8.20.0.0.0.0.0.0.32.3:host:null
"
49,"lookAllHostAddr:209.237.215.137
"
50,"lookupHostByName:ik.manmatters.com
"
51,"lookupHostByName:www.goodrx.com
"
52,"(none):52.219.156.117:host:null
"
53,"voilatile-pa.googleapis.com/172.217.164.106
"
54,"dlsdk.appsflyer.com
"
55,"cryptauthdevicesync.googleapis.com/142.251.46.202
"
56,"lookAllHostAddr:69.195.180.128
"
57,"lookAllHostAddr:api.ipify.org
"
58,"getAddrInfo:hahlive.blob.core.windows.net
"
59,"getAddrInfo:cms.speedoc.com
"
60,"(none):38.6.71.0.0.32.0.0.0.0.0.0.104.26.7.126:host:null
"
61,"(none):38.0.144.0.34.2.178.0.0.8.212.131.128.192.147.161:host:null
"
62,"(none):253.75.82.148.127.58.0.1.129.26.37.0.126.240.146.202:host:null
"
63,"(none):35.166.121.236:host:null
"
64,"o515419.ingest.sentry.io
"
65,"lookupHostByName:img.youtube.com
"
66,"(none):151.101.24.159:host:null
"
67,"lookAllHostAddr:api.pocketdoc.io
"
68,"lookAllHostAddr:209.237.214.131
"
69,"(none):108.139.0.226:host:null
"
70,"lookAllHostAddr:api.docsmart.in
"
71,"(none):38.0.144.0.36.187.92.0.0.3.1.69.235.64.147.161:host:null
"
72,"(none):38.0.144.0.33.235.70.0.0.17.247.40.48.64.147.161:host:null
"
73,"(none):38.0.144.0.36.187.234.0.0.3.1.69.235.64.147.161:host:null
"
74,"api.his.ihc.id
"
75,"prod_docapp.smwebdesigners.in
"
76,"(none):54.255.128.88:host:null
"
77,"lookupHostByName:smsbox.in
"
78,"(none):38.0.144.0.34.2.22.0.0.30.48.86.155.0.147.161:host:null
"
79,"(none):104.26.7.229:host:null
"
80,"lookAllHostAddr:142.251.32.34
"
