AppID,testStage,hipaaCompliant,usBased,FullName_FirstParty,FullName_ThirdParty,Email_FirstParty,Email_ThirdParty,DOB_FirstParty,DOB_ThirdParty,DeviceID_FirstParty,DeviceID_ThirdParty,Gender_FirstParty,Gender_ThirdParty,Phone_FirstParty,Phone_ThirdParty,IPAddress_FirstParty,IPAddress_ThirdParty,Fingerprint_FirstParty,Fingerprint_ThirdParty,Location_FirstParty,Location_ThirdParty,MedicalInfo_FirstParty,MedicalInfo_ThirdParty
com.ada.app,1,0,0,{'api.mobile.ada'},set(),{'api.mobile.ada'},set(),set(),set(),set(),set(),set(),set(),set(),set(),set(),set(),set(),set(),{'api.mobile.ada'},set(),set(),set()
com.remente.app,2,0,1,{'remente-hq.firebaseio'},{'www.googleapis'},{'remente-hq.firebaseio'},{'www.googleapis'},set(),set(),set(),{'android.apis.google'},set(),set(),set(),set(),set(),set(),set(),set(),set(),set(),set(),set()
com.ninety8point6.patientapp,3,1,1,set(),{'production-rest-api.98point6'},set(),{'production-rest-api.98point6'},set(),{'production-rest-api.98point6'},set(),{'android.apis.google'},set(),set(),set(),"{'production-auth.98point6', 'production-rest-api.98point6'}",set(),set(),set(),set(),set(),{'production-rest-api.98point6'},set(),set()
sg.hidoc.visit,3,0,0,set(),{'nsumedyh-android.mobile-messenger.intercom'},set(),{'nsumedyh-android.mobile-messenger.intercom'},set(),set(),set(),{'android.apis.google'},set(),set(),set(),{'nsumedyh-android.mobile-messenger.intercom'},set(),set(),set(),set(),set(),set(),set(),set()
ai.rimads.avey,3,0,0,set(),set(),set(),set(),set(),set(),set(),{'android.apis.google'},set(),set(),set(),set(),set(),set(),set(),set(),set(),set(),set(),set()
ai.mayamd.mayamd,3,0,1,"{'api.mayamdai', 'chatbot.mayamd'}",set(),{'api.mayamdai'},set(),set(),set(),set(),"{'android.apis.google', 'android.googleapis'}","{'api.mayamdai', 'chatbot.mayamd', 'mayaengine.mayamd'}",set(),"{'api.mayamdai', 'chatbot.mayamd'}",set(),set(),set(),set(),set(),"{'api.mayamdai', 'chatbot.mayamd', 'mayaengine.mayamd'}",{'maps.googleapis'},set(),set()
controllers.marham.marhammed,3,0,0,{'www.marham'},{'api.mixpanel'},{'www.marham'},{'api.mixpanel'},set(),set(),set(),{'android.apis.google'},{'www.marham'},{'.app-measurement'},{'www.marham'},"{'api.mixpanel', 'push.dengage'}",set(),set(),set(),set(),set(),{'firebaselogging-pa.googleapis'},set(),set()
ai.kanghealth,0,1,1,set(),set(),set(),set(),set(),set(),set(),set(),set(),set(),set(),set(),set(),set(),set(),set(),set(),set(),set(),set()
com.goodrx,3,0,1,"{'graph.goodrx', 'sso.identity.goodrx'}","{'ssl.google-analytics', 'api.heydoctor'}","{'graph.goodrx', 'sso.identity.goodrx'}","{'ssl.google-analytics', 'api.heydoctor'}",set(),{'api.heydoctor'},{'android.apis.google'},set(),{'www.goodrx'},"{'api.heydoctor', 'cdn.heydoctor', 'www.grxstatic'}",set(),{'api.heydoctor'},set(),set(),set(),set(),{'www.goodrx'},"{'api2.branch', 'www.grxstatic'}",set(),set()
com.media365ltd.doctime,1,0,0,{'api.doctime'},set(),{'api.doctime'},set(),set(),set(),set(),set(),set(),set(),{'api.doctime'},set(),set(),set(),set(),set(),set(),set(),set(),set()
com.medintu.MedintuIN,3,0,0,{'api.medintu'},"{'api.razorpay', 'lumberjack.razorpay'}",{'api.medintu'},{'lumberjack.razorpay'},{'api.medintu'},set(),set(),{'android.apis.google'},{'api.medintu'},set(),{'api.medintu'},"{'api.razorpay', 'lumberjack.razorpay'}",set(),set(),set(),set(),set(),set(),set(),set()
com.patient.myhealthathand,3,0,0,{'app-api.myhealthathand'},{'api.mixpanel'},{'app-api.myhealthathand'},{'api.mixpanel'},{'app-api.myhealthathand'},{'api.mixpanel'},set(),{'android.googleapis'},set(),{'api.mixpanel'},{'app-api.myhealthathand'},{'api.mixpanel'},set(),set(),set(),set(),set(),"{'events.appsflyer', 't.appsflyer'}",set(),set()
com.mm.ondoctor,3,0,0,set(),set(),set(),set(),{'.ondoctorapp'},set(),set(),{'android.apis.google'},{'.ondoctorapp'},set(),set(),{'www.googleapis'},set(),set(),set(),set(),set(),{'player.vimeo'},set(),set()
com.charm.phr.customBrandedApp025,1,1,1,set(),set(),set(),set(),set(),set(),set(),set(),set(),set(),set(),set(),set(),set(),set(),set(),set(),set(),set(),set()
com.lyflinkpatientapp,1,0,0,set(),set(),set(),set(),set(),set(),set(),{'android.apis.google'},set(),set(),{'www.lyflink'},set(),set(),set(),set(),set(),{'www.lyflink'},set(),set(),set()
my.doctor2u.client,3,0,0,set(),set(),set(),set(),set(),set(),set(),{'android.apis.google'},set(),set(),set(),set(),set(),set(),set(),set(),set(),set(),set(),set()
bd.com.cliniva.cliniva_patient,1,0,0,set(),set(),set(),set(),set(),set(),set(),set(),set(),set(),set(),{'www.googleapis'},set(),set(),set(),set(),set(),set(),set(),set()
