domainID,thirdParty,hipaaCompliant,usBased,FullName,Email,DOB,DeviceID,Gender,Phone,IPAddress,Fingerprint,Location,MedicalInfo
gstatic,1.0,0.0,1.0,set(),set(),set(),set(),set(),set(),set(),set(),set(),set()
sentry,1.0,0.0,1.0,set(),set(),set(),set(),set(),set(),set(),set(),set(),set()
ada,0.0,0.0,0.0,{'com.ada.app'},{'com.ada.app'},set(),set(),set(),set(),set(),set(),{'com.ada.app'},set()
adjust,1.0,0.0,0.0,set(),set(),set(),set(),set(),set(),set(),set(),set(),set()
googleapis,1.0,0.0,1.0,"{'com.remente.app', 'com.hellodoctor.hellodoctor'}","{'com.remente.app', 'com.hellodoctor.hellodoctor'}",set(),"{'com.healthcoco.android', 'ai.mayamd.mayamd', 'com.patient.myhealthathand'}",{'com.hellodoctor.hellodoctor'},"{'bd.com.cliniva.cliniva_patient', 'com.mobu.drlivepatient', 'com.mm.ondoctor', 'com.hellodoctor.hellodoctor'}",set(),set(),"{'controllers.marham.marhammed', 'ai.mayamd.mayamd', 'com.hellodoctor.hellodoctor'}",set()
google,1.0,0.0,1.0,set(),set(),set(),"{'com.developer.odoc', 'com.a.Healwell24', 'com.medishala.user', 'sg.hidoc.visit', 'com.lyflinkpatientapp', 'controllers.marham.marhammed', 'com.ninety8point6.patientapp', 'com.mobu.drlivepatient', 'com.tabeby.patient', 'com.remente.app', 'com.advancemedical.onlinemedic', 'in.curetap.bookappointment.doctor', 'ai.rimads.avey', 'com.teleafya', 'com.syntagi.patients', 'ai.mayamd.mayamd', 'com.shifaam.patient', 'com.medintu.MedintuIN', 'com.app.qikdoc', 'com.wayuhealth.patient', 'com.getz.greenclinic', 'my.doctor2u.client', 'com.docplus', 'com.mm.ondoctor', 'com.telemed.ae', 'com.healthcoco.android', 'com.hellodoctor.hellodoctor', 'com.secondconsult', 'com.goodrx', 'com.mentorclub.mentorhealth'}",set(),set(),set(),set(),set(),set()
facebook,1.0,0.0,1.0,set(),set(),set(),set(),set(),set(),set(),set(),set(),set()
mixpanel,1.0,0.0,1.0,"{'controllers.marham.marhammed', 'com.patient.myhealthathand'}","{'controllers.marham.marhammed', 'com.patient.myhealthathand'}",{'com.patient.myhealthathand'},set(),{'com.patient.myhealthathand'},"{'controllers.marham.marhammed', 'com.patient.myhealthathand'}",set(),set(),set(),set()
crashlytics,1.0,0.0,1.0,set(),set(),set(),set(),set(),set(),set(),set(),set(),set()
adapty,1.0,0.0,1.0,set(),set(),set(),set(),set(),set(),set(),set(),set(),set()
appsflyer,1.0,1.0,1.0,set(),set(),set(),set(),set(),set(),set(),set(),{'com.patient.myhealthathand'},set()
amazonaws,1.0,1.0,1.0,set(),set(),set(),set(),set(),set(),set(),set(),set(),set()
app-measurement,1.0,0.0,1.0,set(),set(),set(),set(),{'controllers.marham.marhammed'},set(),set(),set(),set(),set()
firebaseio,1.0,0.0,1.0,{'com.remente.app'},{'com.remente.app'},set(),set(),set(),set(),set(),set(),set(),set()
98point6,0.0,1.0,1.0,{'com.ninety8point6.patientapp'},{'com.ninety8point6.patientapp'},{'com.ninety8point6.patientapp'},set(),set(),{'com.ninety8point6.patientapp'},set(),set(),{'com.ninety8point6.patientapp'},set()
launchdarkly,1.0,0.0,1.0,set(),set(),set(),set(),set(),set(),set(),set(),set(),set()
twitter,1.0,0.0,1.0,set(),set(),set(),set(),set(),set(),set(),set(),set(),set()
intercom,1.0,0.0,1.0,{'sg.hidoc.visit'},{'sg.hidoc.visit'},set(),set(),set(),{'sg.hidoc.visit'},set(),set(),set(),set()
intercomcdn,1.0,0.0,1.0,set(),set(),set(),set(),set(),set(),set(),set(),set(),set()
intercomassets,1.0,0.0,1.0,set(),set(),set(),set(),set(),set(),set(),set(),set(),set()
doubleclick,1.0,0.0,1.0,set(),set(),set(),set(),set(),set(),set(),set(),set(),set()
appcenter,1.0,0.0,1.0,set(),set(),set(),set(),set(),set(),set(),set(),set(),set()
mayamdai,0.0,0.0,1.0,{'ai.mayamd.mayamd'},{'ai.mayamd.mayamd'},set(),set(),{'ai.mayamd.mayamd'},{'ai.mayamd.mayamd'},set(),set(),{'ai.mayamd.mayamd'},set()
mayamd,0.0,0.0,1.0,{'ai.mayamd.mayamd'},set(),set(),set(),{'ai.mayamd.mayamd'},{'ai.mayamd.mayamd'},set(),set(),{'ai.mayamd.mayamd'},set()
visualwebsiteoptimizer,1.0,0.0,0.0,set(),set(),set(),set(),set(),set(),set(),set(),set(),set()
dengage,1.0,1.0,0.0,set(),set(),set(),set(),set(),{'controllers.marham.marhammed'},set(),set(),set(),set()
marham,0.0,0.0,0.0,{'controllers.marham.marhammed'},{'controllers.marham.marhammed'},set(),set(),{'controllers.marham.marhammed'},{'controllers.marham.marhammed'},set(),set(),set(),set()
checkout,1.0,0.0,0.0,set(),set(),set(),set(),set(),set(),set(),set(),set(),set()
emb-api,1.0,0.0,1.0,set(),set(),set(),set(),set(),set(),set(),set(),set(),set()
