domainID,thirdParty,hipaaCompliant,usBased,FullName,Email,DOB,DeviceID,Gender,Phone,IPAddress,Fingerprint,Location,MedicalInfo
conduittelehealth.com,1,0,0,{'com.intuitivehealth'},{'com.intuitivehealth'},set(),set(),set(),set(),set(),set(),set(),set()
detechnovate.net,1,0,1,set(),set(),set(),set(),set(),set(),set(),set(),set(),set()
facebook.com,1,0,1,set(),set(),set(),"{'com.imedhealthus.imeddoctors', 'com.tendapp', 'np.com.midas.merodoctor', 'global.increase.app', 'com.omega_r.healthcare', 'com.viveohealth.viveo_mobile', 'com.sehatkahani.app', 'quickobook.patientapp', 'com.ozoqo.ringadoctor.providers', 'controllers.marham.marhammed', 'com.glocal.sangati', 'com.mantraideas.hamrodoctor', 'com.speedoc.patient', 'to.being.now', 'com.healthcoco.android'}",set(),set(),set(),set(),set(),set()
googleapis.com,1,1,1,"{'org.hospitalin', 'com.docpulse.mmd.ng', 'com.bookdoc.bookdoc', 'com.docin60.android', 'com.hellodoctor.hellodoctor', 'com.remente.app'}","{'org.hospitalin', 'com.docpulse.mmd.ng', 'com.bookdoc.bookdoc', 'com.docin60.android', 'com.hellodoctor.hellodoctor', 'com.remente.app', 'to.being.now'}","{'com.docpulse.mmd.ng', 'com.bookdoc.bookdoc'}",set(),"{'com.docpulse.mmd.ng', 'com.bookdoc.bookdoc', 'com.hellodoctor.hellodoctor', 'com.mend.android.telemedicine', 'to.being.now'}","{'com.docpulse.mmd.ng', 'com.bookdoc.bookdoc', 'id.ihc.telemed', 'com.mm.ondoctor', 'com.hellodoctor.hellodoctor', 'com.dofody', 'io.doctorji.app', 'com.unarv.health', 'com.mobu.drlivepatient'}",set(),set(),"{'com.doctorondemand.android.patient', 'com.practo.fabric', 'com.summithealth.mobile', 'com.docpulse.mmd.ng', 'com.blueshieldca.prod'}",set()
crashlytics.com,1,0,1,set(),set(),set(),set(),set(),set(),set(),set(),set(),set()
leap.is,1,1,1,set(),set(),set(),set(),set(),set(),set(),set(),set(),set()
google-analytics.com,1,0,1,set(),set(),set(),set(),set(),set(),set(),set(),set(),set()
branch.io,1,0,1,set(),set(),set(),"{'com.ntst.android.netsmart.telehealth', 'com.bcbssc.android.careondemand', 'com.sehatkahani.app', 'au.com.hotdoc.android.hotdoc', 'com.developer.odoc', 'com.zocdoc.android', 'com.americanwell.android.member.amwell', 'com.bcbsm.android.bcmi.onlinevisit', 'com.babylon.us', 'org.nalc.android.hbp.telehealth', 'in.evolve.android', 'org.leehealth.android.lmhs.telehealth', 'in.medibuddy', 'com.medifi.patients.production', 'com.pacificalabs.pacifica', 'com.getheal.patient', 'net.airmedic.olive', 'com.americanwell.android.member.wellpoint', 'com.medbeyond.usa'}",set(),set(),set(),set(),"{'com.ntst.android.netsmart.telehealth', 'com.bcbssc.android.careondemand', 'au.com.hotdoc.android.hotdoc', 'com.goodrx', 'com.vsee.clinic.release', 'com.zocdoc.android', 'com.americanwell.android.member.amwell', 'com.americanwell.android.member.hmsa', 'com.bcbsm.android.bcmi.onlinevisit', 'com.teladoc.members', 'com.babylon.us', 'org.marshfieldclinic.android.mchs.caremyway', 'org.nalc.android.hbp.telehealth', 'in.evolve.android', 'org.leehealth.android.lmhs.telehealth', 'in.medibuddy', 'com.medifi.patients.production', 'com.advancemedical.virtualcare', 'com.spruce.messenger', 'com.carbonhealth.patient.prod', 'com.pacificalabs.pacifica', 'com.mosaicwellness.manmatters', 'com.getheal.patient', 'com.blueshieldca.prod', 'net.airmedic.olive', 'com.americanwell.android.member.wellpoint', 'com.medbeyond.usa'}",set()
odoc.life,0,0,0,set(),set(),set(),set(),set(),{'com.developer.odoc'},set(),set(),set(),set()
wzrkt.com,1,1,1,set(),set(),set(),set(),set(),set(),set(),set(),set(),set()
