AppID,FullName_FirstParty,FullName_ThirdParty,Email_FirstParty,Email_ThirdParty,DOB_FirstParty,DOB_ThirdParty,DeviceID_FirstParty,DeviceID_ThirdParty,Gender_FirstParty,Gender_ThirdParty,Phone_FirstParty,Phone_ThirdParty,IPAddress_FirstParty,IPAddress_ThirdParty,Fingerprint_FirstParty,Fingerprint_ThirdParty,Location_FirstParty,Location_ThirdParty
com.goodrx,"{'graph.goodrx', 'sso.identity.goodrx'}","{'api.heydoctor', 'ssl.google-analytics'}","{'graph.goodrx', 'sso.identity.goodrx'}","{'api.heydoctor', 'ssl.google-analytics'}",set(),{'api.heydoctor'},{'android.apis.google'},set(),{'www.goodrx'},"{'api.heydoctor', 'www.grxstatic', 'cdn.heydoctor'}",set(),{'api.heydoctor'},set(),set(),set(),set(),{'www.goodrx'},"{'api2.branch', 'www.grxstatic'}"
ai.mayamd.mayamd,"{'chatbot.mayamd', 'api.mayamdai'}",set(),{'api.mayamdai'},set(),set(),set(),set(),"{'android.googleapis', 'android.apis.google'}","{'chatbot.mayamd', 'api.mayamdai', 'mayaengine.mayamd'}",set(),"{'chatbot.mayamd', 'api.mayamdai'}",set(),set(),set(),set(),set(),"{'chatbot.mayamd', 'api.mayamdai', 'mayaengine.mayamd'}",{'maps.googleapis'}
com.ninety8point6.patientapp,set(),{'production-rest-api.98point6'},set(),{'production-rest-api.98point6'},set(),{'production-rest-api.98point6'},set(),{'android.apis.google'},set(),set(),set(),"{'production-rest-api.98point6', 'production-auth.98point6'}",set(),set(),set(),set(),set(),{'production-rest-api.98point6'}
com.betterhelp,set(),{'android.googleapis'},set(),{'android.googleapis'},set(),set(),set(),{'android.apis.google'},{'static.betterhelp'},set(),set(),set(),set(),set(),set(),set(),{'www.betterhelp'},set()
com.amerihealth.wehealthnew,{'admin.wehealthapp'},set(),{'admin.wehealthapp'},set(),set(),set(),set(),set(),{'admin.wehealthapp'},set(),{'admin.wehealthapp'},set(),set(),set(),set(),set(),{'admin.wehealthapp'},set()
com.client.eglobaldoctors,{'portal.eglobaldoctors'},set(),{'portal.eglobaldoctors'},set(),{'portal.eglobaldoctors'},set(),set(),set(),{'portal.eglobaldoctors'},set(),{'portal.eglobaldoctors'},set(),set(),set(),set(),set(),{'portal.eglobaldoctors'},set()
com.americanwell.android.member.wellpoint,set(),{'.startlivehealthonline'},set(),{'.startlivehealthonline'},set(),{'.startlivehealthonline'},set(),{'android.apis.google'},set(),"{'logx.optimizely', '.startlivehealthonline'}",set(),{'.startlivehealthonline'},set(),{'api2.branch'},set(),set(),set(),"{'api2.branch', 'crashlyticsreports-pa.googleapis', 'aries.iad.appboy', '.startlivehealthonline'}"
com.medekhealth.medek,{'api.medek'},set(),{'api.medek'},set(),set(),set(),set(),{'android.apis.google'},set(),set(),{'api.medek'},set(),set(),set(),set(),set(),{'api.medek'},{'maps.googleapis'}
com.evisit.app.cmg,{'app.evisit'},"{'api.stripe', 'android.googleapis'}",{'app.evisit'},{'android.googleapis'},{'app.evisit'},set(),set(),set(),{'app.evisit'},set(),{'app.evisit'},set(),set(),set(),set(),set(),{'app.evisit'},{'in.appcenter'}
com.carbonhealth.patient.prod,"{'api.carbonhealth', 'app-analytics.carbonhealth'}",set(),"{'api.carbonhealth', 'app-analytics.carbonhealth'}",set(),{'api.carbonhealth'},set(),set(),{'android.apis.google'},{'api.carbonhealth'},set(),{'api.carbonhealth'},set(),set(),set(),set(),set(),{'api.carbonhealth'},"{'api2.branch', 'maps.googleapis'}"
com.neevlabs.connect2mydoctorpatientshalby,{'www.connect2mydoctor'},set(),{'www.connect2mydoctor'},set(),set(),set(),set(),{'android.apis.google'},{'www.connect2mydoctor'},set(),{'www.connect2mydoctor'},{'api.razorpay'},set(),set(),set(),set(),{'www.connect2mydoctor'},set()
