AppID,FullName_FirstParty,FullName_ThirdParty,Email_FirstParty,Email_ThirdParty,DOB_FirstParty,DOB_ThirdParty,DeviceID_FirstParty,DeviceID_ThirdParty,Gender_FirstParty,Gender_ThirdParty,Phone_FirstParty,Phone_ThirdParty,IPAddress_FirstParty,IPAddress_ThirdParty,Fingerprint_FirstParty,Fingerprint_ThirdParty,Location_FirstParty,Location_ThirdParty
com.docplus,{'server.docplus'},set(),{'server.docplus'},set(),set(),set(),set(),{'android.apis.google'},{'server.docplus'},set(),{'server.docplus'},set(),set(),set(),set(),set(),set(),set()
com.charm.phr.customBrandedApp025,set(),set(),set(),set(),set(),set(),set(),set(),set(),set(),set(),set(),set(),set(),set(),set(),set(),set()
org.drgalen,set(),set(),set(),set(),set(),set(),set(),set(),set(),set(),set(),set(),set(),set(),set(),set(),set(),set()
ai.kanghealth,set(),set(),set(),set(),set(),set(),set(),set(),set(),set(),set(),set(),set(),set(),set(),set(),set(),set()
com.remente.app,{'remente-hq.firebaseio'},"{'www.googleapis', 'android.googleapis'}",{'remente-hq.firebaseio'},"{'www.googleapis', 'android.googleapis'}",set(),set(),set(),"{'android.googleapis', 'android.apis.google'}",{'remente-hq.firebaseio'},set(),set(),set(),set(),set(),set(),set(),set(),set()
com.careclix.patient.preproduction.healthlink,set(),{'android.googleapis'},set(),{'android.googleapis'},set(),set(),set(),{'android.apis.google'},set(),set(),set(),set(),set(),set(),set(),set(),set(),set()
com.tigertext,{'api.tigertext'},set(),{'api.tigertext'},set(),set(),set(),set(),set(),set(),set(),set(),set(),set(),set(),set(),set(),set(),set()
com.alphonso.swiftttelemedicine,set(),set(),set(),set(),set(),set(),set(),set(),set(),set(),set(),set(),set(),set(),set(),set(),set(),set()
com.ozoqo.ringadoctor.providers,set(),"{'www.google', 'd7uqdmhb2l.execute-api.us-west-1.amazonaws', 'android.googleapis'}",set(),"{'www.google', 'd7uqdmhb2l.execute-api.us-west-1.amazonaws', 'android.googleapis'}",set(),set(),set(),set(),{'.ringadoctor'},set(),set(),set(),set(),set(),set(),set(),set(),set()
com.doctorconsultation,set(),"{'prod_docapp.smwebdesigners', 'api.my-doc'}",set(),"{'prod_docapp.smwebdesigners', 'api.my-doc'}",set(),set(),set(),set(),set(),set(),set(),"{'prod_docapp.smwebdesigners', 'api.my-doc'}",set(),set(),set(),set(),set(),set()
com.teencounseling,{'www.teencounseling'},set(),set(),set(),set(),set(),set(),set(),{'www.teencounseling'},set(),set(),set(),set(),set(),set(),set(),set(),set()
com.talkspace.talkspaceapp,set(),{'android.googleapis'},set(),{'android.googleapis'},set(),set(),set(),{'android.googleapis'},{'match.talkspace'},{'cdnjs.cloudflare'},set(),set(),set(),set(),set(),set(),set(),{'firebaselogging-pa.googleapis'}
com.carenowapp,set(),set(),set(),set(),set(),set(),set(),{'android.apis.google'},set(),set(),set(),set(),set(),set(),set(),set(),set(),set()
