AppID,FullName_FirstParty,FullName_ThirdParty,Email_FirstParty,Email_ThirdParty,DOB_FirstParty,DOB_ThirdParty,DeviceID_FirstParty,DeviceID_ThirdParty,Gender_FirstParty,Gender_ThirdParty,Phone_FirstParty,Phone_ThirdParty,IPAddress_FirstParty,IPAddress_ThirdParty,Fingerprint_FirstParty,Fingerprint_ThirdParty,Location_FirstParty,Location_ThirdParty
my.doctor2u.client,set(),set(),set(),set(),set(),set(),set(),{'android.apis.google'},set(),set(),set(),set(),set(),set(),set(),set(),set(),set()
com.getz.greenclinic,set(),set(),set(),set(),set(),set(),set(),{'android.apis.google'},set(),set(),set(),set(),set(),set(),set(),set(),set(),set()
com.healthcoco.android,{'webapi.healthcoco'},{'lumberjack.razorpay'},{'webapi.healthcoco'},set(),set(),set(),set(),"{'android.apis.google', 'android.googleapis'}",{'webapi.healthcoco'},set(),{'webapi.healthcoco'},"{'api.razorpay', 'lumberjack.razorpay'}",set(),set(),set(),set(),set(),set()
controllers.marham.marhammed,{'www.marham'},{'api.mixpanel'},{'www.marham'},{'api.mixpanel'},set(),set(),set(),{'android.apis.google'},{'www.marham'},{'.app-measurement'},{'www.marham'},"{'api.mixpanel', 'push.dengage'}",set(),set(),set(),set(),set(),{'firebaselogging-pa.googleapis'}
com.hellodoctor.hellodoctor,set(),"{'user-service-pusuheofiq-uc.a.run', 'www.googleapis', 'firestore.googleapis', 'api.stripe'}",set(),"{'user-service-pusuheofiq-uc.a.run', 'www.googleapis', 'firestore.googleapis', 'api.stripe'}",set(),set(),set(),{'android.apis.google'},set(),{'firestore.googleapis'},set(),"{'user-service-pusuheofiq-uc.a.run', 'firestore.googleapis', 'api.stripe'}",set(),set(),set(),set(),set(),{'firebaselogging-pa.googleapis'}
com.wayuhealth.patient,set(),{'wayumd.appspot'},set(),{'wayumd.appspot'},set(),{'wayumd.appspot'},set(),{'android.apis.google'},set(),{'wayumd.appspot'},set(),{'wayumd.appspot'},set(),set(),set(),set(),set(),set()
com.dokpam,{'cms.dokpam'},{'.159.203.59.183'},set(),set(),{'cms.dokpam'},{'.159.203.59.183'},set(),set(),{'cms.dokpam'},{'.159.203.59.183'},{'cms.dokpam'},{'.159.203.59.183'},set(),set(),set(),set(),{'cms.dokpam'},{'.159.203.59.183'}
com.secondconsult,"{'.secondconsult', 'api-prod.secondconsult'}",set(),{'api-prod.secondconsult'},set(),{'api-prod.secondconsult'},set(),set(),{'android.apis.google'},{'api-prod.secondconsult'},set(),{'api-prod.secondconsult'},{'api.onesignal'},set(),set(),set(),set(),{'api-prod.secondconsult'},set()
com.mentorclub.mentorhealth,set(),set(),set(),set(),set(),set(),set(),{'android.apis.google'},set(),set(),set(),set(),set(),set(),set(),set(),set(),set()
com.patient.myhealthathand,{'app-api.myhealthathand'},{'api.mixpanel'},{'app-api.myhealthathand'},{'api.mixpanel'},{'app-api.myhealthathand'},{'api.mixpanel'},set(),{'android.googleapis'},set(),{'api.mixpanel'},{'app-api.myhealthathand'},{'api.mixpanel'},set(),set(),set(),set(),set(),"{'t.appsflyer', 'events.appsflyer'}"
com.mm.ondoctor,set(),set(),set(),set(),{'.ondoctorapp'},set(),set(),{'android.apis.google'},{'.ondoctorapp'},set(),set(),{'www.googleapis'},set(),set(),set(),set(),set(),{'player.vimeo'}
com.medintu.MedintuIN,{'api.medintu'},"{'api.razorpay', 'lumberjack.razorpay'}",{'api.medintu'},{'lumberjack.razorpay'},{'api.medintu'},set(),set(),{'android.apis.google'},{'api.medintu'},set(),{'api.medintu'},"{'api.razorpay', 'lumberjack.razorpay'}",set(),set(),set(),set(),set(),set()
sg.hidoc.visit,set(),{'nsumedyh-android.mobile-messenger.intercom'},set(),{'nsumedyh-android.mobile-messenger.intercom'},set(),set(),set(),{'android.apis.google'},set(),set(),set(),{'nsumedyh-android.mobile-messenger.intercom'},set(),set(),set(),set(),set(),set()
ai.rimads.avey,set(),set(),set(),set(),set(),set(),set(),{'android.apis.google'},set(),set(),set(),set(),set(),set(),set(),set(),set(),set()
id.ihc.telemed,set(),{'api.rspj.medinesia'},set(),{'api.rspj.medinesia'},set(),{'api.rspj.medinesia'},set(),{'android.apis.google'},set(),set(),set(),"{'api.rspj.medinesia', 'www.googleapis'}",set(),set(),set(),set(),set(),set()
com.contactdoctor.patient,{'.contactdoctor'},set(),{'.contactdoctor'},set(),set(),set(),set(),{'android.apis.google'},{'.contactdoctor'},set(),{'.contactdoctor'},set(),set(),set(),set(),set(),{'.contactdoctor'},set()
myclinic.ie,{'m.myclinic'},set(),{'m.myclinic'},set(),{'m.myclinic'},set(),set(),set(),set(),set(),{'m.myclinic'},set(),set(),set(),set(),set(),{'m.myclinic'},set()
com.sevendoctors.seven,{'.seven-doctors'},set(),{'.seven-doctors'},set(),set(),set(),set(),{'android.apis.google'},{'.seven-doctors'},set(),{'.seven-doctors'},set(),set(),set(),set(),set(),{'.seven-doctors'},{'.ip-api'}
com.asterdmhealthcare.astereconsult,"{'api.asterdmhealthcare', 'ccapi.asterdmhealthcare'}",set(),"{'api.asterdmhealthcare', 'ccapi.asterdmhealthcare'}",set(),{'api.asterdmhealthcare'},set(),set(),{'android.apis.google'},"{'api.asterdmhealthcare', 'ccapi.asterdmhealthcare'}",set(),"{'api.asterdmhealthcare', 'ccapi.asterdmhealthcare'}",set(),set(),set(),set(),set(),set(),set()
com.bookdoc.bookdoc,{'api.bookdoc'},{'firebaseremoteconfig.googleapis'},{'api.bookdoc'},{'firebaseremoteconfig.googleapis'},{'api.bookdoc'},{'firebaseremoteconfig.googleapis'},set(),{'android.apis.google'},{'api.bookdoc'},{'firebaseremoteconfig.googleapis'},{'api.bookdoc'},{'firebaseremoteconfig.googleapis'},set(),set(),set(),set(),set(),{'firebaselogging-pa.googleapis'}
com.telehealth.xmed,set(),set(),set(),set(),set(),set(),set(),{'android.apis.google'},set(),set(),set(),set(),set(),set(),set(),set(),set(),set()
com.thegraphe.alo_doctor_patient,set(),set(),set(),set(),set(),set(),set(),{'android.apis.google'},set(),set(),set(),set(),set(),set(),set(),set(),set(),set()
com.hellodox.patient,{'.hellodox'},"{'www.payumoney', 'api.quickblox', 'in.api.clevertap', 's-usc1a-nss-2002.firebaseio'}",{'.hellodox'},"{'www.payumoney', 'in.api.clevertap'}",{'.hellodox'},set(),set(),{'android.apis.google'},{'.hellodox'},set(),{'.hellodox'},"{'www.payumoney', 'www.googleapis'}",set(),set(),set(),set(),set(),set()
com.doktors,set(),{'lumberjack.razorpay'},set(),{'lumberjack.razorpay'},set(),set(),set(),{'android.apis.google'},set(),set(),set(),{'lumberjack.razorpay'},set(),set(),set(),set(),set(),set()
com.omega_r.healthcare,set(),"{'.seekmed', 'lumberjack.razorpay', '.ip-api'}",set(),"{'.seekmed', '.ip-api'}",set(),{'.seekmed'},set(),{'android.apis.google'},set(),set(),set(),"{'.seekmed', 'lumberjack.razorpay', '.ip-api'}",set(),set(),set(),set(),set(),"{'.seekmed', 'data.flurry', '.ip-api'}"
com.doctall,{'api.doctall'},{'api.paystack'},{'api.doctall'},{'api.paystack'},{'api.doctall'},set(),set(),{'android.apis.google'},{'api.doctall'},set(),{'api.doctall'},set(),set(),set(),set(),set(),{'api.doctall'},set()
com.ati.bdhealthline,{'.bdhealthline'},set(),{'.bdhealthline'},set(),{'.bdhealthline'},set(),set(),"{'android.apis.google', 'android.googleapis'}",set(),set(),{'.bdhealthline'},set(),set(),set(),set(),set(),set(),set()
com.gaiamobile.airdoctor,{'prod.air-dr'},set(),{'prod.air-dr'},set(),{'prod.air-dr'},set(),set(),{'android.apis.google'},{'prod.air-dr'},set(),{'prod.air-dr'},set(),set(),set(),set(),set(),{'prod.air-dr'},set()
com.xevensolution.alphacare,set(),{'alfacareapi.azurewebsites'},set(),{'alfacareapi.azurewebsites'},set(),{'alfacareapi.azurewebsites'},set(),set(),set(),{'alfacareapi.azurewebsites'},set(),{'alfacareapi.azurewebsites'},set(),set(),set(),set(),set(),{'alfacareapi.azurewebsites'}
com.apollo.android,"{'service.askapollo', 'lmsapi.oneapollo'}","{'instantmessaging-pa.googleapis', 'psegment.netcoresmartech', 'android.googleapis', 'android.clients.google', 'accounts.google', 'pn.netcoresmartech', 'www.googleapis'}","{'service.askapollo', 'lmsapi.oneapollo'}","{'instantmessaging-pa.googleapis', 'psegment.netcoresmartech', 'android.googleapis', 'android.clients.google', 'accounts.google', 'pn.netcoresmartech', 'www.googleapis'}",{'lmsapi.oneapollo'},set(),set(),"{'android.apis.google', 'android.googleapis'}",{'lmsapi.oneapollo'},"{'static.xx.fbcdn', 'ssl.gstatic', 'pn.netcoresmartech', 'accounts.google'}","{'service.askapollo', 'lmsapi.oneapollo'}",{'pn.netcoresmartech'},set(),set(),set(),set(),{'service.askapollo'},"{'static.xx.fbcdn', 'psegment.netcoresmartech'}"
np.com.midas.merodoctor,{'api.mero'},{'android.googleapis'},{'api.mero'},{'android.googleapis'},{'api.mero'},set(),set(),{'android.apis.google'},{'api.mero'},set(),{'api.mero'},set(),set(),set(),set(),set(),set(),set()
com.infikeytechnologies.claveto,set(),{'lumberjack.razorpay'},set(),{'lumberjack.razorpay'},set(),set(),set(),{'android.apis.google'},set(),set(),set(),{'lumberjack.razorpay'},set(),set(),set(),set(),set(),set()
com.credihealth.android,{'www.credihealth'},set(),{'www.credihealth'},set(),{'www.credihealth'},set(),set(),set(),set(),set(),{'www.credihealth'},set(),set(),set(),set(),set(),set(),set()
com.quikdr.app,{'api.quikdr'},"{'api.razorpay', 'api.amplitude', 'lumberjack.razorpay'}",{'api.quikdr'},"{'api.amplitude', 'lumberjack.razorpay'}",{'api.quikdr'},set(),set(),{'android.apis.google'},{'api.quikdr'},set(),{'api.quikdr'},"{'api.razorpay', 'api.amplitude', 'lumberjack.razorpay'}",set(),set(),set(),set(),set(),{'api.amplitude'}
in.docco360.patient,set(),{'lumberjack.razorpay'},set(),{'lumberjack.razorpay'},set(),set(),set(),{'android.apis.google'},{'blog.docco360'},set(),set(),{'lumberjack.razorpay'},set(),set(),set(),set(),set(),set()
