AppID,FullName_FirstParty,FullName_ThirdParty,Email_FirstParty,Email_ThirdParty,DOB_FirstParty,DOB_ThirdParty,DeviceID_FirstParty,DeviceID_ThirdParty,Gender_FirstParty,Gender_ThirdParty,Phone_FirstParty,Phone_ThirdParty,IPAddress_FirstParty,IPAddress_ThirdParty,Fingerprint_FirstParty,Fingerprint_ThirdParty,Location_FirstParty,Location_ThirdParty
com.developer.odoc,set(),set(),set(),set(),set(),set(),set(),{'android.apis.google'},set(),set(),{'gen3api.odoc'},set(),set(),set(),set(),set(),set(),set()
com.telemed.ae,set(),set(),set(),set(),set(),set(),set(),{'android.apis.google'},set(),set(),set(),set(),set(),set(),set(),set(),set(),set()
bd.com.cliniva.cliniva_patient,set(),set(),set(),set(),set(),set(),set(),set(),set(),set(),set(),{'www.googleapis'},set(),set(),set(),set(),set(),set()
com.lyflinkpatientapp,set(),set(),set(),set(),set(),set(),set(),{'android.apis.google'},set(),set(),{'www.lyflink'},set(),set(),set(),set(),set(),{'www.lyflink'},set()
com.syntagi.patients,set(),set(),set(),set(),set(),set(),set(),{'android.apis.google'},set(),set(),set(),set(),set(),set(),set(),set(),set(),set()
com.a.Healwell24,set(),set(),set(),set(),set(),set(),set(),{'android.apis.google'},set(),set(),{'.healwell24'},set(),set(),set(),set(),set(),set(),set()
in.curetap.bookappointment.doctor,{'www.curetap'},set(),{'www.curetap'},set(),{'www.curetap'},set(),set(),{'android.apis.google'},set(),set(),{'www.curetap'},set(),set(),set(),set(),set(),set(),set()
com.muvierecktechnologies.yetlohealth,set(),set(),set(),set(),set(),set(),set(),set(),set(),set(),set(),set(),set(),set(),set(),set(),set(),set()
com.app.qikdoc,set(),set(),set(),set(),set(),set(),set(),{'android.apis.google'},set(),set(),set(),set(),set(),set(),set(),set(),set(),set()
com.shifaam.patient,set(),set(),set(),set(),set(),set(),set(),{'android.apis.google'},set(),set(),{'api.shifaam'},set(),set(),set(),set(),set(),{'api.shifaam'},set()
com.tabeby.patient,set(),set(),set(),set(),set(),set(),set(),{'android.apis.google'},set(),set(),set(),set(),set(),set(),set(),set(),set(),set()
com.mobu.drlivepatient,set(),set(),set(),set(),set(),set(),set(),{'android.apis.google'},set(),set(),set(),"{'.doctorlivebd', 'www.googleapis'}",set(),set(),set(),set(),set(),set()
com.onlineopd.app,set(),{'www.sritechnocrat'},set(),set(),set(),set(),set(),set(),set(),set(),set(),{'www.sritechnocrat'},set(),set(),set(),set(),set(),set()
com.advancemedical.onlinemedic,set(),{'mobile-api2.teladoc'},set(),{'mobile-api2.teladoc'},set(),set(),set(),{'android.apis.google'},set(),{'mobile-api2.teladoc'},set(),set(),set(),set(),set(),set(),set(),set()
com.medishala.user,set(),set(),set(),set(),set(),set(),set(),{'android.apis.google'},set(),set(),set(),set(),set(),set(),set(),set(),set(),set()
com.teleafya,set(),set(),set(),set(),set(),set(),set(),{'android.apis.google'},set(),set(),set(),set(),set(),set(),set(),set(),set(),set()
com.surgician.surgician,set(),set(),set(),set(),set(),set(),set(),set(),set(),set(),set(),set(),set(),set(),set(),set(),set(),set()
com.media365ltd.doctime,{'api.doctime'},set(),{'api.doctime'},set(),set(),set(),set(),set(),set(),set(),{'api.doctime'},set(),set(),set(),set(),set(),set(),set()
